       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
    112.000     5.1676     5.1674   3.358504   3.358772     2.5044    -0.2375     0.4097    34.9168 7.3217e+02    110.899    34.9148    34.9181     6.5069    1473.14    27.5891    27.5917
    113.000     5.1556     5.1544   3.357319   3.357501     2.5053    -0.2375     0.4035    34.9153 7.2899e+02    111.889    34.9130    34.9164     6.5125    1473.10    27.5891    27.5920
    114.000     5.1517     5.1522   3.357052   3.357350     2.5056    -0.2375     0.4026    34.9150 7.2715e+02    112.879    34.9136    34.9164     6.5150    1473.11    27.5900    27.5922
    115.000     5.1633     5.1610   3.358240   3.358233     2.5062    -0.2388     0.3978    34.9151 7.2992e+02    113.869    34.9146    34.9169     6.5160    1473.17    27.5895    27.5915
    116.000     5.1545     5.1534   3.356998   3.357405     2.5033    -0.2321     0.4019    34.9134 7.3996e+02    114.859    34.9090    34.9148     6.5091    1473.14    27.5861    27.5908
    117.000     5.1317     5.1314   3.355227   3.355454     2.5024    -0.2456     0.4049    34.9137 7.3550e+02    115.849    34.9118    34.9147     6.5105    1473.07    27.5910    27.5933
    118.000     5.1255     5.1246   3.354394   3.354769     2.5028    -0.2732     0.4119    34.9134 7.3020e+02    116.839    34.9081    34.9134     6.5139    1473.06    27.5888    27.5931
    119.000     5.0944     5.0915   3.351629   3.351614     2.5031    -0.2701     0.4041    34.9109 7.2459e+02    117.829    34.9081    34.9110     6.5211    1472.95    27.5925    27.5951
    120.000     5.1098     5.1049   3.353312   3.353004     2.5048    -0.2550     0.3998    34.9116 7.2416e+02    118.819    34.9109    34.9125     6.5249    1473.03    27.5929    27.5948
    121.000     5.1088     5.1010   3.352645   3.352591     2.5022    -0.2381     0.3972    34.9100 7.2731e+02    119.808    34.9038    34.9113     6.5176    1473.03    27.5874    27.5943
    122.000     5.0507     5.0523   3.347116   3.347676     2.5008    -0.2529     0.4066    34.9058 7.2074e+02    120.798    34.9000    34.9049     6.5239    1472.81    27.5912    27.5949
    123.000     5.0313     5.0309   3.345487   3.345720     2.5002    -0.2383     0.3977    34.9046 7.1591e+02    121.788    34.9010    34.9041     6.5259    1472.75    27.5943    27.5968
    124.000     5.0233     5.0229   3.344756   3.344952     2.4994    -0.2480     0.3971    34.9034 7.1465e+02    122.778    34.9003    34.9031     6.5254    1472.73    27.5947    27.5969
    125.000     5.0376     5.0391   3.346228   3.346584     2.4954    -0.2542     0.3977    34.9031 7.2016e+02    123.768    34.9019    34.9045     6.5110    1472.81    27.5943    27.5962
    126.000     5.0203     5.0215   3.344618   3.344954     2.4940    -0.2446     0.3937    34.9025 7.0946e+02    124.758    34.9009    34.9034     6.5101    1472.75    27.5955    27.5974
    127.000     5.0185     5.0184   3.344506   3.344697     2.4919    -0.2541     0.3949    34.9020 7.1393e+02    125.748    34.9009    34.9032     6.5042    1472.76    27.5957    27.5976
    128.000     5.0181     5.0179   3.344532   3.344710     2.4899    -0.2444     0.3932    34.9019 7.2239e+02    126.737    34.9011    34.9034     6.4987    1472.78    27.5959    27.5978
    129.000     5.0171     5.0168   3.344510   3.344684     2.4861    -0.2574     0.3947    34.9021 7.0797e+02    127.727    34.9013    34.9037     6.4871    1472.79    27.5963    27.5982
    130.000     5.0120     5.0120   3.343994   3.344273     2.4830    -0.2402     0.3894    34.9016 6.9651e+02    128.717    34.9002    34.9035     6.4789    1472.78    27.5960    27.5986
    131.000     5.0032     5.0033   3.343139   3.343461     2.4823    -0.2515     0.3933    34.9009 6.9256e+02    129.707    34.8990    34.9026     6.4790    1472.76    27.5960    27.5989
